Timestep,Mean_Reward,Std_Reward,Min_Reward,Max_Reward,Mean_Episode_Length,Std_Episode_Length
10000,17.272607999999998,3.120760705137194,11.988473,21.177784,20.0,0.0
20000,38.1419238,11.651198164889609,24.110385,58.263714,34.2,7.222188034107115
30000,37.065779,11.558593427126986,28.080316,59.072556,43.8,7.782030583337488
40000,43.752182999999995,20.32620431689162,29.441376,83.418241,56.4,23.27745690577044
50000,276.967984,83.95407002859575,122.260564,349.370414,206.4,41.2
60000,206.76283540000003,110.11329271222927,64.208929,315.254344,227.0,0.0
70000,260.936088,70.88025624799342,136.437524,353.499002,227.0,0.0
80000,281.69435200000004,88.72124283034104,156.138903,397.664103,227.0,0.0
90000,1188.6368218000002,1065.70743696376,300.714963,2502.370095,227.0,0.0
100000,322.3412874,39.266202667897815,270.13322,356.610362,227.0,0.0
110000,526.97036,522.616119572928,62.725531,1549.539432,193.4,67.19999999999999
120000,4383.2742066,2899.960656457592,335.239287,7914.395159,192.2,69.6
130000,4388.8177246,3060.5422765688536,327.138975,8478.752056,190.8,71.90104310787153
140000,3079.3313862,1707.886146554273,379.145404,5779.952076,116.0,90.6465663993954
150000,3753.4118455999997,3988.6155211347054,388.955505,11403.936518,158.8,83.84366404207297
160000,3095.8727516,2.460507479396047,3093.016256,3099.934256,55.8,2.7129319932501073
170000,3157.5316364,1107.0121456475858,1499.966485,4993.084941,103.4,66.14408514750204
180000,3097.5554456,11.420759977774255,3088.786907,3119.802815,56.2,8.704022058795578
190000,2752.5424826,1080.695914659463,659.722045,3798.701898,127.4,81.36977325764155
200000,3196.5877096000004,203.83632679331268,3082.945582,3604.063533,58.2,8.084553172563094
210000,3100.3048242,16.589625965359737,3089.413918,3133.150361,60.0,12.049896265113654
220000,3086.1371590000003,6.775302232957514,3077.371071,3093.721284,49.0,6.54217089351845
230000,3094.7153642000003,5.68099498364908,3083.617105,3099.560384,57.0,5.621387729022079
240000,2872.0108482000005,438.04437154607814,1996.192955,3102.725235,88.0,70.17691928262454
250000,3102.4358592,3.6439979629111194,3098.582205,3108.74798,64.8,5.192301994298868
260000,4134.645406199999,2996.8454740886623,1380.406359,9977.486607,114.2,66.63452558546508
270000,4894.977208800001,3608.081299588847,3068.127711,12111.081375,90.0,69.52121978216435
280000,5041.853398,3907.4889665329647,3076.912269,12856.817207,78.0,56.366656810564876
290000,6700.856712000001,5336.3174605551085,3073.383921,17223.877573,102.6,65.62499523809507
300000,4157.334607000001,2122.9930762598287,3083.444154,8403.299736,69.4,22.63271967749347
310000,3876.0783822000003,1110.6743900853817,3084.337638,5951.230316,67.0,14.099645385611653
320000,3567.7701290000005,938.312088383646,3083.988741,5444.233014,63.4,11.943198901466893
330000,6256.348067000001,5051.6078779959125,3081.559646,16128.070996,98.6,66.5630528146058
340000,3753.910299,1335.6247940998298,3080.222331,6425.150936,64.4,30.58496362593881
350000,3526.3229564000003,873.6892609874598,3075.161715,5273.574336,62.8,20.350921355064003
360000,3997.6093769999998,1815.0736969062305,3086.429565,7627.752289,70.8,33.36105513918887
370000,3825.4448107999997,987.3288166330261,3078.444821,5550.210554,59.6,15.944905142395799
380000,6257.763751200001,5132.33260967679,3093.397913,16326.687209,101.0,64.37080083391848
390000,5367.115466,1799.5583034231663,3085.143685,8579.785467,119.2,63.546518394008025
400000,4289.0437468,1509.0524644357977,3078.441096,6598.82757,73.2,31.050925912120558
410000,3685.0489216,1197.9655290113494,3083.729971,6080.977403,60.2,20.073863604199364
420000,7074.892548599999,3631.1774647164198,3083.214013,13761.515845,107.2,48.284158892953705
430000,6439.489027199999,3966.588840948346,3090.239409,13922.063157,113.0,61.36122554186805
440000,4780.837833799999,1597.4772611775993,3079.226836,7312.135122,81.0,27.49545416973504
450000,7849.0989676,3763.477881254085,3082.32886,14120.792305,126.4,61.42507631252891
460000,8335.6177766,4412.481655912838,3083.191562,13515.024563,165.6,76.90929722731836
470000,7925.309154200001,4448.53217990581,3087.846858,14912.895032,160.6,81.48030436860186
480000,8761.0115764,5053.803548504196,3083.308224,14725.410796,156.2,86.71424335136643
490000,8318.926888400001,4732.423111231528,3083.35137,13719.449136,144.2,79.39370252104382
500000,7608.746843399999,4757.421056175934,3088.849062,14216.444468,126.6,82.15254104408457
